Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
106,OPT-2.7B (finetuned on PTB),"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,2.70E+09,,,1.666666667,,,0.0,180000000000.0,4.86E+21,929000.0,180000000000.0,,,,10.8,0.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 byte level BPE tokenizer,52000,"Architecture: Decoder-only Transformer with details of the number of layers, attention heads, and embedding size specified in Table 1.; Optimizer: AdamW optimizer with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1.; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens. The batch sizes are constant throughout the course of training.; Training: Dropout of 0.1 (except embeddings), Gradient clipping at 1.0 (or 0.3), Gradient predivide factor to reduce risk of over/underflows, Dynamic loss scaling; Attention: Multi-head attention (details of the number of heads specified in Table 1); Regularization: Weight decay 0.1, Dropout of 0.1 (except embeddings); Initialization: Weight initialization using a normal distribution with zero mean and standard deviation of 0.006, as in Megatron-LM. Output layers are scaled by 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: ReLU activation, Sequence length of 2048 tokens",,,,,,,,,,
107,OPT-1.3B (finetuned),"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.30E+09,,,1.666666667,,,0.0,180000000000.0,2.34E+21,2080000.0,180000000000.0,,,12.22,,0.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only Transformer language models, Table 1 provides number of layers, number of attention heads, and embedding size for each model size.; Optimizer: AdamW with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: Dropout of 0.1 (except on embeddings), Gradient clipping at 1.0 (reduced to 0.3 mid-flight), Gradient predivide factor to reduce over/underflows, Dynamic loss scaling; Attention: Not explicitly mentioned, but the model is a Transformer, so it uses multi-headed self-attention.; Regularization: Weight decay 0.1, Dropout 0.1; Initialization: Weight initialization follows Megatron-LM, using a normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0; Other: ReLU activation, Sequence length of 2048",,,,,,,,,,
108,OPT-2.7B,"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,2.70E+09,,,1.666666667,,,1.0,180000000000.0,4.86E+21,0.0,180000000000.0,,,12.47,,1.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only Transformer architecture with varying number of layers, attention heads and embedding sizes. The specific details for each model size are listed in Table 1 of the paper.; Optimizer: AdamW with (β1, β2) = (0.9, 0.95) and weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps for OPT-175B (or over 375M tokens for smaller baselines), and decaying down to 10% of the maximum LR over 300B tokens. Mid-flight changes to LR were also required.; Training: Gradient clipping at 1.0 (or reduced to 0.3 during mid-flight adjustments), Gradient predivide factor to reduce risk of over/underflows, Dynamic loss scaling to avoid underflows, Fully Sharded Data Parallel (FSDP), Megatron-LM Tensor Parallelism; Attention: Details on the specific attention mechanism are not explicitly stated, but the number of attention heads is specified for each model size in Table 1.; Regularization: Dropout of 0.1 (except for embeddings), Weight Decay 0.1; Initialization: Weights initialized using a normal distribution with zero mean and standard deviation of 0.006 (Megatron-LM codebase settings). Output layers are scaled by a 1.0/√2L term. All bias terms are initialized as 0.; Other: ReLU activation, Sequence length of 2048",,,,,,,,,,
109,OPT-175B,"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.75E+11,,4.16e+23,1.666666667,,,0.0,180000000000.0,3.15E+23,0.0,180000000000.0,,,8.35,,1.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only Transformer with details such as number of layers (#L), number of attention heads (#H), and the embedding size (dmodel) varying across different model sizes. Architectural details are displayed in Table 1.; Optimizer: AdamW optimizer with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1.; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: Gradient clipping (norm at 1.0, reduced to 0.3 in some mid-flight changes), Dynamic loss scaling, Fully Sharded Data Parallel, Megatron-LM Tensor Parallelism, ReLU activation; Attention: Multi-head attention (number of heads #H specified in Table 1); Regularization: Weight decay of 0.1, Dropout of 0.1 throughout (except for embeddings); Initialization: Weights initialized using a normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: Gradient predivide factor to reduce the risk of over/underflows when computing the gradient across all ranks",,,,,,,,,,
110,OPT-13B,"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.30E+10,,,1.666666667,,,1.0,180000000000.0,2.34E+22,0.0,180000000000.0,,,10.13,,1.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only Transformer, with #L layers, #H attention heads and dmodel embedding size.  See table 1 in the paper for details for each specific model.; Optimizer: AdamW with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1.; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: Gradient Clipping, Dynamic Loss Scaling, Gradient Predivide Factor; Attention: Multi-head attention (see table 1 for the number of heads #H); Regularization: Dropout of 0.1 (except for embeddings), Weight Decay of 0.1; Initialization: Weights initialized with a normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: ReLU activation, Sequence length of 2048",,,,,,,,,,
111,OPT-125M (finetuned),"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.25E+08,,,1.666666667,,,0.0,180000000000.0,2.25E+20,2080000.0,180000000000.0,,,19.85,,0.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only pre-trained Transformer language model.; Optimizer: AdamW with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in our smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens. (Mid-flight changes to learning rate also occurred.); Training: gradient clipping (norm clipped to 1.0, sometimes reduced to 0.3 mid-flight), dynamic loss scaling; Attention: Multi-head attention used, number of heads varies by model size; Regularization: dropout of 0.1 (except for embeddings), weight decay of 0.1; Initialization: Weights initialized using a normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: ReLU activation, Sequence length of 2048, gradient predivide factor",,,,,,,,,,
112,Alleviated TOI 10 (PTB),"Noémien Kocher, Christian Scuito, Lorenzo Tarantino, Alexandros Lazaridis, Andreas Fischer, Claudiu Musat",2019/09/18,2019,Alleviating Sequence Information Loss with Data Overlapping and Prime Batch Sizes,0.0,1.0,https://arxiv.org/abs/1909.08700,UNK,,,1000,,,1.0,103000000.0,#VALUE!,0.0,103000000.0,Penn TreeBank,,,56.46,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/nkcr/overlap-ml,,,,0,,,"Architecture: LSTM, AWD-LSTM, Transformer; Optimizer: SGD; LR Schedule: Not mentioned; Training: Weight Dropping for AWD-LSTM; Attention: Self-attention used in Transformer; Regularization: Not explicitly mentioned; Special Algorithms: Maximum Over Softmax (MoS), Alleviated TOI (Token Order Imbalance), Prime Batch Sizes; Initialization: Not mentioned",,,,,,,,,,
113,OPT-1.3B,"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.30E+09,,,1.666666667,,,0.0,180000000000.0,2.34E+21,,180000000000.0,,,16.41,,1.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only Transformer with varying number of layers, attention heads and embedding size; Optimizer: AdamW with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in our smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: Gradient clipping, Dynamic loss scaling, ReLU activation; Attention: Multi-head attention (details vary according to model size); Regularization: Dropout 0.1 (not applied to embeddings), Weight decay 0.1; Special Algorithms: Gradient predivide factor to reduce the risk of over/underflows; Initialization: Weights initialized using a normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: Sequence Length 2048",,,,,,,,,,
114,OPT-30B,"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,3.00E+10,,,1.666666667,,,0.0,180000000000.0,5.40E+22,0.0,180000000000.0,,,10.67,,1.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only pre-trained Transformer Language Models; Optimizer: AdamW with (β1, β2) set to (0.9, 0.95), weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: gradient clipping, dynamic loss scaling; Attention: Not explicitly stated, but implied multi-head attention due to the Transformer architecture and mentioning the number of attention heads.; Regularization: dropout 0.1 (except for embeddings), weight decay 0.1; Initialization: Normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: gradient predivide factor",,,,,,,,,,
115,OPT-350M,"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.25E+08,,,1.666666667,,,0.0,180000000000.0,2.25E+20,,180000000000.0,,,25.42,,1.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 tokenizer,52000,"Architecture: Decoder-only Transformer; Optimizer: AdamW with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in our smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: Gradient clipping, Dynamic loss scaling, Fully Sharded Data Parallel with Megatron-LM Tensor Parallelism, ReLU activation; Attention: Multi-head attention (details in Table 1: Number of attention heads varies with model size); Regularization: Dropout of 0.1 (except on embeddings), Weight decay of 0.1; Initialization: Normal distribution with zero mean and standard deviation of 0.006, standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0",,,,,,,,,,
116,Transformer-XL + SIS,"Sagar Verma, Jean-Christophe Pesquet",2021/05/03,2021,Sparsifying Networks via Subdifferential Inclusion,9.0,,https://web.archive.org/web/20220122141508/http://proceedings.mlr.press/v139/verma21b/verma21b.pdf,2.46E+08,1.03E+08,1.04e+19,UNK,,,0.0,103000000.0,#VALUE!,,103000000.0,,21.1,,,0.0,0.0,0,0,Transformer,Transformer-XL,https://sagarverma.github.io/compression,University of Washington; Facebook AI Research; Allen Institute for AI,Industry - Academia Collaboration,,1,,,,,,,,,,,,,
117,OPT-1.3B (finetuned on PTB),"Susan Zhang∗ , Stephen Roller∗ , Naman Goyal∗ , Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott† , Sam Shleifer† , Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer",2022/06/21,2022,OPT: Open Pre-trained Transformer Language Models,656.0,,https://arxiv.org/pdf/2205.01068.pdf?fbclid=IwAR2zobF7YoESj0HLKULhilGRV-jvNXKr2bkW_b3MqPfFZ6rEyagDP654QFo,1.30E+09,,,1.666666667,,,0.0,180000000000.0,2.34E+21,929000.0,180000000000.0,,,,12.02,0.0,1.0,0,0,Transformer,OPT,,,,,1,GPT-2 byte level BPE tokenizer,52000,"Architecture: Decoder-only Transformer language models. The models largely follow the architecture of Brown et al. (2020).; Optimizer: AdamW optimizer with (β1, β2) set to (0.9, 0.95), and weight decay of 0.1; LR Schedule: Linear learning rate schedule, warming up from 0 to the maximum learning rate over the first 2000 steps in OPT-175B, or over 375M tokens in smaller baselines, and decaying down to 10% of the maximum LR over 300B tokens.; Training: Dynamic loss scaling (to avoid underflows), ReLU Activation, Fully Sharded Data Parallel, Megatron-LM Tensor Parallelism; Attention: Not explicitly mentioned, but since it's a Transformer, it uses multi-head self-attention; Regularization: Dropout of 0.1 (but not on embeddings), Weight decay of 0.1; Initialization: Weight initialization follows Megatron-LM codebase, using a normal distribution with zero mean and standard deviation of 0.006. Standard deviation for output layers are scaled by a 1.0/√2L term where L is the total number of layers. All bias terms are initialized as 0.; Other: Gradient clipping norms at 1.0 (except for some mid-flight changes), Gradient predivide factor to reduce the risk of over/underflows",,,,,,,,,,
118,GLM-10B,"Zhengxiao Du, Yujie Qian, Xiao Liu, Ming Ding, Jiezhong Qiu, Zhilin Yang, Jie Tang",2021/03/18,2021,GLM: General Language Model Pretraining with Autoregressive Blank Infilling,131.0,,https://arxiv.org/abs/2103.10360,1.00E+10,,,1,,,0.0,632000000000.0,3.79E+22,,632000000000.0,,,12.0,22.52,1.0,0.0,0,0,Transformer,GLM,https://github.com/THUDM/GLM,,,,1,,,"Architecture: Transformer with several modifications: (1) rearranged order of layer normalization and the residual connection, (2) single linear layer for output token prediction, (3) ReLU replaced with GeLUs; Optimizer: Adam; LR Schedule: Cosine decay; Training: 2D positional encodings, Autoregressive blank infilling; Attention: Multi-head attention (12 or 16 heads depending on model size); Regularization: Dropout 0.1, Weight decay 0.1 or 0.01 depending on model; Special Algorithms: Autoregressive Blank Infilling objective: random span shuffling, 2D Positional Encoding; Other: Multi-task pretraining by jointly optimizing the blank infilling objective with document-level or sentence-level objectives.",,,,,,,,,,
119,AWD-LSTM,"Gábor Melis, Chris Dyer, Phil Blunsom",2017/07/18,2017,On the State of the Art of Evaluation in Neural Language Models,555.0,,https://arxiv.org/abs/1707.05589,3.30E+07,,,,,,0.0,2080000.0,0.00E+00,,2080000.0,WikiText-2,,65.8,,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,GPT-2 tokenizer,52000,"Architecture: LSTM stacked as layers with additive skip connections, optional down-projection; Optimizer: Adam with β₁ = 0 (effectively RMSProp without momentum, but with Adam's bias correction); LR Schedule: Learning rate is multiplied by 0.1 whenever validation performance does not improve during 30 consecutive checkpoints.; Attention: not applicable; Regularization: input dropout, intra-layer dropout, output dropout, variational dropout or recurrent dropout, weight decay; Initialization: model starts with zero state at the beginning of training and test time, with probability 0.01 a constant zero state is provided as the initial state during training",,,,,,,,,,
120,B2T connection (16L),"Sho Takase, Shun Kiyono, Sosuke Kobayashi, Jun Suzuki",2022/06/01,2022,On Layer Normalizations and Residual Connections in Transformers,4.0,1.0,https://web.archive.org/web/20220602013934/https://arxiv.org/pdf/2206.00330.pdf,2.47E+08,1.03E+08,2.8e+19,150,,,0.0,103000000.0,2.29E+19,0.0,103000000.0,,19.2,,,0.0,1.0,0,0,Transformer,Transformer-XL,,,,,1,,300000,"Architecture: Transformer-based encoder-decoder architecture. Investigates both Post-LN and Pre-LN configurations, and proposes a new connection called Bottom-to-Top (B2T) connection; Optimizer: Adam (specified as 'Adam B' in hyperparameter table); LR Schedule: Inverse sqrt decay; Training: Layer Normalization (LN), Residual Connections, Gradient Clipping, Dropout, Byte-Pair-Encoding (BPE); Attention: Multi-head attention; Regularization: Dropout, Word Dropout; Special Algorithms: Bottom-to-Top (B2T) connection: A novel residual connection that skips over layer normalizations to improve stability and performance. Equations provided for its implementation (Eq. 5, 6, 7, 8); Initialization: Multiplied initial parameter values (except embeddings) by 0.1",,,,,,,,,,
121,RSM,"David Rawlinson, Abdelrahman Ahmed, Gideon Kowadlo",2019/05/28,2019,Learning distant cause and effect using only local and immediate credit assignment,3.0,1.0,https://arxiv.org/pdf/1905.11589,,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,166.0,0.0,0.0,0,0,,,https://github.com/Cerenaut/rsm,,,,0,,,"Architecture: Recurrent Sparse Memory (RSM), a predictive autoencoder derived from sparse autoencoders. Single-layer model is a standard recurrent network with inhibition, rank-based sparse masking, and integration & normalization of recurrent input. Allows for multiple RSM layers.; Optimizer: Stochastic gradient descent; LR Schedule: Not mentioned; Training: Sparse coding (fixed top-k sparsity), Inhibition (to encourage cells to learn unique contexts), Leaky-ReLU nonlinearities in the classifier network (to reduce accumulation of dead cells), Dropout (to generalize learned sequences); Attention: No explicit attention mechanism is used, but the authors suggest self-attention as future work to improve selective remembering.; Regularization: L2 regularization (small L2 value improved classifier performance); Special Algorithms: Rank-based sparse masking; Initialization: Recurrent input (xR) is initialized as zeros; Other: Feedback input and parameters required when stacking more than one RSM layer with bi-directional connections, Forgetting of the recurrent state with a fixed probability during training., Integration of recurrent input over time.",,,,,,,,,,
122,AWD-LSTM-MoS+Noisin+dynamic evaluation ,"Adji B. Dieng, Rajesh Ranganath, Jaan Altosaar, David M. Blei",2018/05/03,2018,Noisin: Unbiased Regularization for Recurrent Neural Networks,26.0,,https://arxiv.org/pdf/1805.01500,2.20E+07,,,400,,,0.0,929000.0,4.91E+16,,929000.0,,,,47.6,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,10000,"Architecture: LSTM (Long Short-Term Memory), including variants with dropout (dropout-LSTM). Also tested with AWD-LSTM-MoS (from Yang et al., 2017) with dynamic evaluation and Noisin. The number of layers is 2, with either 650 or 1500 hidden units each for medium and large network sizes respectively.; Optimizer: Average Stochastic Gradient Descent (SGD); LR Schedule: Initial learning rate of 30. Divided by a factor of 1.2 if the perplexity on the validation set deteriorates.; Training: Truncated backpropagation through time (BPTT); Attention: Not applicable; Regularization: Noisin (noise injection), Weight decay (not used in basic experiments but AWD-LSTM from Yang et al. might contain), Dropout; Special Algorithms: Noisin (unbiased noise injection); Initialization: Embedding weights initialized uniformly in [-0.1, 0.1]. Other weights initialized uniformly between [-1/sqrt(H), 1/sqrt(H)], where H is the number of hidden units in a layer. Biases initialized to 0.",,,,,,,,,,
123,LSTM+Noise(Beta),"Adji B. Dieng, Rajesh Ranganath, Jaan Altosaar, David M. Blei",2018/05/03,2018,Noisin: Unbiased Regularization for Recurrent Neural Networks,26.0,,https://arxiv.org/pdf/1805.01500,5.10E+07,,,200,,,0.0,2080000.0,1.27E+17,,2080000.0,,,82.9,,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,,30000,"Architecture: LSTM, and mentions ERNN as a building block. LSTM can be built with noise injection to form a multi-layered noise-injected LSTM; Optimizer: average stochastic gradient descent; LR Schedule: Initial learning rate of 30, divided by 1.2 if perplexity on the validation set deteriorates.; Training: truncated backpropagation through time; Attention: Not applicable; Regularization: Noisin, Weight decay or pointers were not used in the basic settings, Gradient clipping (maximum norm of 0.25); Special Algorithms: Noisin: injects noise into the hidden states of an RNN, Unbiased noise injection; Initialization: Embedding weights initialized uniformly in [-0.1, 0.1]. Other weights initialized uniformly between [-1/sqrt(H), 1/sqrt(H)], where H is the number of hidden units in a layer. Biases initialized to 0.",,,,,,,,,,
124,Dropout-LSTM+Noise(Laplace),"Adji B. Dieng, Rajesh Ranganath, Jaan Altosaar, David M. Blei",2018/05/03,2018,Noisin: Unbiased Regularization for Recurrent Neural Networks,26.0,,https://arxiv.org/pdf/1805.01500,1.30E+07,,,200,,,0.0,2080000.0,3.24E+16,,2080000.0,,,82.1,,0.0,1.0,0,0,Recurrent,,,,,,1,,30000,"Architecture: LSTM and dropout-LSTM. The LSTM transition function composes four ERNNs, three with sigmoid activations and one with a tanh activation. Can also be an ERNN; Optimizer: Average stochastic gradient descent; LR Schedule: Initial learning rate of 30, divided by a factor of 1.2 if the perplexity on the validation set deteriorates.; Training: Truncated backpropagation through time; Attention: Not applicable; Regularization: Noisin (noise injection at hidden states) multiplicative and additive noise variations studied, Dropout; Special Algorithms: Noisin; Initialization: Embedding weights initialized uniformly in [-0.1, 0.1]. Other weights initialized uniformly in [-1/sqrt(H), 1/sqrt(H)] where H is the number of hidden units. Biases initialized to 0.; Other: Gradient clipping (maximum norm of 0.25)",,,,,,,,,,
125,Dropout-LSTM+Noise(Bernoulli) (WT2),"Adji B. Dieng, Rajesh Ranganath, Jaan Altosaar, David M. Blei",2018/05/03,2018,Noisin: Unbiased Regularization for Recurrent Neural Networks,26.0,,https://arxiv.org/pdf/1805.01500,5.10E+07,,,200,,,0.0,2080000.0,1.27E+17,,2080000.0,,,76.8,,0.0,1.0,0,0,Recurrent,,,,,,1,,30000,"Architecture: LSTM, dropout-LSTM. Mentions ERNN as simpler RNN. The LSTM transition function composes four ERNNs, three with sigmoid activations and one with a tanh activation.; Optimizer: Truncated backpropagation through time with average stochastic gradient descent; LR Schedule: Initial learning rate of 30, divided by 1.2 if the perplexity on the validation set deteriorates.; Training: truncated backpropagation through time; Attention: Not applicable; Regularization: Noisin (injects noise into hidden states), Dropout (for dropout-LSTM), Gradient clipping (maximum norm of 0.25), Noise Injection (additive or multiplicative); Special Algorithms: Noisin; Initialization: Embedding weights initialized uniformly in [-0.1, 0.1]. Other weights were initialized uniformly between [-1/sqrt(H), 1/sqrt(H)], where H is the number of hidden units in a layer. Biases were initialized to 0.; Other: Use of auxiliary noise variables to compute hidden states, Monte Carlo approximation for the expected log-likelihood under injected noise, Noise level control via noise spread parameter",,,,,,,,,,
